UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
crematoriumregister,http://standaarden.overheid.nl/owms/terms/crematoriumregister,X,,,X,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wlb_art_50,Artikel 50 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=IV&afdeling=1&artikel=50
crematoriumvergunning,http://standaarden.overheid.nl/owms/terms/cremverg,,,,X,,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_53,Artikel 53 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=IV&afdeling=2&artikel=53
crisismaatregel,http://standaarden.overheid.nl/owms/terms/crisismtrgl,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wvggz_art_7_1,Artikel 7:1 Wet verplichte geestelijke gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0040635&hoofdstuk=7&paragraaf=1&artikel=7:1
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_6_1_3,Artikel 6.1.3 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=6&paragraaf=6.1&artikel=6.1.3
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wlz_art_3_1_1,Artikel 3.1.1 Wet langdurige zorg,https://wetten.overheid.nl/jci1.3:c:BWBR0035917&hoofdstuk=3&paragraaf=1&artikel=3.1.1
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wmo_art_2_3_3,Artikel 2.3.3 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.3
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Zvw_art_11,Artikel 11 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&paragraaf=3.2&artikel=11
crisisplan,http://standaarden.overheid.nl/owms/terms/crisisplan,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wvr_art_16,Artikel 16 Wet veiligheidsregio's,https://wetten.overheid.nl/jci1.3:c:BWBR0027466&paragraaf=3&artikel=16
cultuur invoerverbod,http://standaarden.overheid.nl/owms/terms/cultinvverb,X,,,,X,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_6_3,Artikel 6.3 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=6&paragraaf=6.1&artikel=6.3
cultuurgoedaanwijzing,http://standaarden.overheid.nl/owms/terms/cultuurgoedaanw,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_3_7,Artikel 3.7 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=3&paragraaf=3.2&artikel=3.7
cultuurgoederen uitvoervergunning,http://standaarden.overheid.nl/owms/terms/cultGoedUitvVerg,X,,,,X,X,X,A4,,,X,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_4_22,Artikel 4.22 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=4&paragraaf=4.3&artikel=4.22
cultuursubsidie,http://standaarden.overheid.nl/owms/terms/cultuursubsidie,,X,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
curatele,http://standaarden.overheid.nl/owms/terms/curatele,X,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_378,Artikel 378 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=16&artikel=378
curatele- en bewindregister,http://standaarden.overheid.nl/owms/terms/curateleBewReg,X,,,,X,X,,H5,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_391,Artikel 391 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=16&artikel=391
cursusgeld,http://standaarden.overheid.nl/owms/terms/cursusgeld,X,,,,X,,,E1,,,,,,X,http://standaarden.overheid.nl/owms/terms/LCW_art_6,Artikel 6 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=III&artikel=6
cursusgeld terugbetaling,http://standaarden.overheid.nl/owms/terms/cursusgeldTerugbet,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/LCW_art_6,Artikel 6 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=III&artikel=6
dagbesteding ouderen,http://standaarden.overheid.nl/owms/terms/dagbestOuderen,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_1_2_1,Artikel 1.2.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=1&paragraaf=2&artikel=1.2.1
dagverzorging ouderen,http://standaarden.overheid.nl/owms/terms/dagverzorging_ouderen,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_1_2_1,Artikel 1.2.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=1&paragraaf=2&artikel=1.2.1
damu-leerling reiskostensubsidie,http://standaarden.overheid.nl/owms/terms/damu-llReisksub,X,,,,X,,,E1,,,X,X,,,http://standaarden.overheid.nl/owms/terms/Subsreg_DAMU_PO_art_3,Artikel 3 Subsidieregeling reiskosten DAMU-leerlingen PO,https://wetten.overheid.nl/jci1.3:c:BWBR0044620&artikel=3
damu-leerling reiskostensubsidie,http://standaarden.overheid.nl/owms/terms/damu-llReisksub,X,,,,X,,,E1,,,X,X,,,http://standaarden.overheid.nl/owms/terms/Subsreg_DAMU_VO_art_2,Artikel 2 Subsidieregeling reiskosten DAMU-leerlingen VO,https://wetten.overheid.nl/jci1.3:c:BWBR0041167&artikel=2
deel onderwijsprogramma vo ontheffing,http://standaarden.overheid.nl/owms/terms/deelOnderwProgrVOOnth,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_18,Artikel 2.178 Wet voortgezet onderwijs 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&paragraaf=2&artikel=2.18
deel onderwijsprogramma vo ontheffing,http://standaarden.overheid.nl/owms/terms/deelOnderwProgrVOOnth,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_33,Artikel 2.33 Wet voortgezet onderwijs 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&paragraaf=2&artikel=2.33
delfstoffenvergunning,http://standaarden.overheid.nl/owms/terms/delfstverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Mijnbouwwet_art_6,Artikel 6 Mijnbouwwet,https://wetten.overheid.nl/jci1.3:c:BWBR0014168&hoofdstuk=2&paragraaf=2.1&artikel=6
depositogarantiestelsel,http://standaarden.overheid.nl/owms/terms/depositogarantiestelsel,X,,,,X,X,,J7;H2,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wft_art_3_259,Artikel 3:259 Wet op het financieel toezicht,https://wetten.overheid.nl/jci1.3:c:BWBR0020368&titeldeel=3&hoofdstuk=3.5&afdeling=3.5.6&paragraaf=3.5.6.1&artikel=3:259
detentie melding zorgverzekeraar,http://standaarden.overheid.nl/owms/terms/detentieMeldZorgVerz,X,,,,X,X,,F1,,,,,X,,http://standaarden.overheid.nl/owms/terms/Zvw_art_24,Artikel 24 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&paragraaf=3.6&artikel=24
deurwaardersbenoeming,http://standaarden.overheid.nl/owms/terms/deurwben,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/GDW_art_4,Artikel 4 Gerechtsdeurwaarderswet,https://wetten.overheid.nl/jci1.3:c:BWBR0012197&hoofdstuk=II&paragraaf=2&artikel=4
dienstplicht ontheffing,http://standaarden.overheid.nl/owms/terms/dienstplOnth,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Kwd_art_13,Artikel 13 Kaderwet dienstplicht,https://wetten.overheid.nl/jci1.3:c:BWBR0008589&hoofdstuk=1&paragraaf=5&artikel=13
dienstplicht uitstel,http://standaarden.overheid.nl/owms/terms/dienstplUitst,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Kwd_art_12,Artikel 12 Kaderwet dienstplicht,https://wetten.overheid.nl/jci1.3:c:BWBR0008589&hoofdstuk=1&paragraaf=5&artikel=12
dienstverlening op of aan de openbare weg vergunning,http://standaarden.overheid.nl/owms/terms/dienstverlening_op_of_aan_de_openbare_weg_vergunning,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
dierenhoudenontheffing,http://standaarden.overheid.nl/owms/terms/dierenhOnth,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_60,Artikel 2:60 Model Algemene plaatselijke verordening,
dierenopvang,http://standaarden.overheid.nl/owms/terms/dierenopvang,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_5_art_8,Artikel 8 Burgerlijk Wetboek Boek 5,https://wetten.overheid.nl/jci1.3:c:BWBR0005288&boek=5&titeldeel=2&artikel=8
dierententoonstellingsmelding,http://standaarden.overheid.nl/owms/terms/diertentmld,X,,,,,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Besluit_houders_van_dieren_art_3_8,Artikel 3.8 Besluit houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035217&hoofdstuk=3&paragraaf=2&artikel=3.8
dierentuinvergunning,http://standaarden.overheid.nl/owms/terms/dierentuinvergunning,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Besluit_houders_van_dieren_art_4_2,Artikel 4.2 Besluit houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035217&hoofdstuk=4&paragraaf=1&artikel=4.2
dierenvervoersdocument,http://standaarden.overheid.nl/owms/terms/dierenvervDoc,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_4,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 4",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
dierenvervoersvergunning,http://standaarden.overheid.nl/owms/terms/dierenvervVerg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_10,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 10 en art. 11",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
dierenvervoersvoertuigcertificaat,http://standaarden.overheid.nl/owms/terms/dierenvervVoertCert,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1_2005_art_18,"Verordening (EG) n r. 1/2005 van de Raad van 22 december 2004 inzake de bescherming van dieren tijdens het vervoer en daarmee samenhangende activiteiten en tot wijziging van de Richtlijnen 64/432/EEG en 93/119/EG en van Verordening (EG) nr. 1255/97, art. 18",https://eur-lex.europa.eu/eli/reg/2005/1/2005-01-25
diergeneeskunderegister,http://standaarden.overheid.nl/owms/terms/diergenRegister,X,,,,X,,,F1,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_4_3,Artikel 4.3 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=4&artikel=4.3
dierproeven instellingsvergunning,http://standaarden.overheid.nl/owms/terms/dierprinstverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WOD_art_2,Artikel 2 Wet op de dierproeven,https://wetten.overheid.nl/jci1.3:c:BWBR0003081&paragraaf=2&artikel=2
digid,http://standaarden.overheid.nl/owms/terms/digid,,,,,X,,,D1,,X,,,,,http://standaarden.overheid.nl/owms/terms/Reg_voorz_Wdo_art_3,Artikel 3 Regeling voorzieningen Wdo,https://wetten.overheid.nl/jci1.3:c:BWBR0048167&hoofdstuk=2&artikel=3
digid-machtiging,http://standaarden.overheid.nl/owms/terms/digid_machtiging,X,,,,X,X,,D1,,,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_voorz_Wdo_art_4,Artikel 4 Regeling voorzieningen Wdo,https://wetten.overheid.nl/jci1.3:c:BWBR0048167&hoofdstuk=3&artikel=4
digitaledienstenverordening,http://standaarden.overheid.nl/owms/terms/digitaleDienstenVerord,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_2022_2065,Verordening  (EU) 2022/2065 van het Europees Parlement en de Raad van 19 oktober 2022 betreffende een eengemaakte markt voor digitale diensten,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32022R2065
diplomabeschrijving,http://standaarden.overheid.nl/owms/terms/diplomabeschr,X,,,,X,,,N3,,,,,,,,,
discriminatie klacht,http://standaarden.overheid.nl/owms/terms/discrKlacht,X,,,,X,,,B7,,,,,,,http://standaarden.overheid.nl/owms/terms/WetCVDRM_art_10,Artikel 10 Wet College voor de rechten van de mens,https://wetten.overheid.nl/jci1.3:c:BWBR0030733&hoofdstuk=2&artikel=10
dividend bronbelastingvermindering,http://standaarden.overheid.nl/owms/terms/divbrbelverm,X,,,,,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_DB_art_11,Artikel 11 Wet op de dividendbelasting 1965,https://wetten.overheid.nl/jci1.3:c:BWBR0002515&hoofdstuk=IV&artikel=11
dividendbelasting,http://standaarden.overheid.nl/owms/terms/dividendbel,X,,,,X,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wet_DB_art_1,Artikel 1 Wet op de dividendbelasting 1965,https://wetten.overheid.nl/jci1.3:c:BWBR0002515&hoofdstuk=I&artikel=1
dode-gezelschapsdierenopruiming,http://standaarden.overheid.nl/owms/terms/dodeGezelschDierenOpr,,,,X,X,X,X,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_3_5,Artikel 3.5 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=3&paragraaf=2&artikel=3.5
doelgroepverklaring,http://standaarden.overheid.nl/owms/terms/doelgroepverklaring,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wtl_art_2_3,Artikel 2.3 Wet tegemoetkomingen loondomein,https://wetten.overheid.nl/jci1.3:c:BWBR0037522&hoofdstuk=II&paragraaf=2.2&artikel=2.3
donorgegevens kunstmatige bevruchting informatieverzoek,http://standaarden.overheid.nl/owms/terms/donorgegKunstmBevrInfoVerz,X,,,,X,,,F1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WDKB_art_3,Artikel 3 Wet donorgegevens kunstmatige bevruchting,https://wetten.overheid.nl/jci1.3:c:BWBR0013642&paragraaf=2&artikel=3
doodgeboren kind aangifte,http://standaarden.overheid.nl/owms/terms/doodgeboren_kind_aangifte,,,,X,X,,,G1,,X,,,,X,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19i,Artikel 19i Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19i
doorstroompremie,http://standaarden.overheid.nl/owms/terms/doorstrprem,,,,X,X,,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
drinkwateraansluitingsverzoek,http://standaarden.overheid.nl/owms/terms/drwatAanslVerzoek,X,,,,X,X,,H3,,,,,,,http://standaarden.overheid.nl/owms/terms/DrinkwW_art_8,Artikel 8 Drinkwaterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0026338&hoofdstuk=II&paragraaf=2&artikel=8
duur prestatiebeurs verlenging,http://standaarden.overheid.nl/owms/terms/duurPrestBeursVerl,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_5_2a,Artikel 5.2a Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=5&paragraaf=5.1&artikel=5.2a
duur prestatiebeurs verlenging,http://standaarden.overheid.nl/owms/terms/duurPrestBeursVerl,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_5_2c,Artikel 5.2c Wet studiefinanciering 2001,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=5&paragraaf=5.1&artikel=5.2c
duurzaamheidslening,http://standaarden.overheid.nl/owms/terms/duurzhLening,,,,X,X,X,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
dwangsom bij niet tijdig beslissen,http://standaarden.overheid.nl/owms/terms/dwangsomNietTijdBesl,X,X,,,X,X,,,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_4_17,Artikel 4:17 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=4&titeldeel=4.1&afdeling=4.1.3&paragraaf=4.1.3.2&artikel=4:17
dyslexieverklaring,http://standaarden.overheid.nl/owms/terms/dyslexieverklaring,,,,X,X,,,,,X,,,,,,,
dyslexiezorg,http://standaarden.overheid.nl/owms/terms/dyslexiezorg,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_2_3,Artikel 2.3 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=2&artikel=2.3
easa bewijs van luchtwaardigheid,http://standaarden.overheid.nl/owms/terms/easabewluchtv,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2018_1139,Artikel 9 Verordening (EU) 2018/1139,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32018R1139
echtscheiding inschrijving,http://standaarden.overheid.nl/owms/terms/echtscheiding_inschrijving,,,,X,X,,,G1;G2,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_163,Artikel 163 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=9&afdeling=2&artikel=163
echtscheiding verzoek,http://standaarden.overheid.nl/owms/terms/echtschVerz,X,,,,X,,,G2,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_150,Artikel 150 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=9&afdeling=2&artikel=150
echtscheidingscertificaat,http://standaarden.overheid.nl/owms/terms/echtschCert,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2019_1111_art_36,"Artikel 36 Verordening (EU) 2019/1111 van de Raad van 25 juni 2019 betreffende de bevoegdheid, de erkenning en tenuitvoerlegging van beslissingen in huwelijkszaken en inzake de ouderlijke verantwoordelijkheid, en betreffende internationale kinderontvoering",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32019R1111&from=NL#d1e2305-1-1
economische ontwikkelingssubsidie,http://standaarden.overheid.nl/owms/terms/economische_ontwikkelingssubsidie,,,,X,,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
eed-energieaudit,http://standaarden.overheid.nl/owms/terms/eedEnergieAudit,,,,X,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/WetUitvEU-handEnergie-efficiëntie_art_18,Artikel 18 Wet uitvoering EU-handelingen energie-efficiëntie,https://wetten.overheid.nl/jci1.3:c:BWBR0029672&hoofdstuk=2a&artikel=18
eenhoofdig gezag,http://standaarden.overheid.nl/owms/terms/eenhoofdigGezag,X,,,,X,,,G1,,,X,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_251a,Artikel 251a Boek 1 Burgerlijk Wetboek,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=14&afdeling=2&paragraaf=1&artikel=251a
eenmalige uitkering veteranen,http://standaarden.overheid.nl/owms/terms/eenmUitkVet,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/UitkTeg2tot5JDTVet_art_2,Artikel 2 Uitkeringswet tegemoetkoming twee tot vijfjarige diensttijd veteranen,https://wetten.overheid.nl/jci1.3:c:BWBR0009197&artikel=2
eherkenning,http://standaarden.overheid.nl/owms/terms/eHerkenning,X,X,X,X,,X,,,,,,,,,,,
eindexamen vo aanpassing,http://standaarden.overheid.nl/owms/terms/eindexVOAanp,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/UWVO_2020_art_3_54,Artikel 3.54 Uitvoeringsbesluit WVO 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0045787&hoofdstuk=3&paragraaf=6&artikel=3.54
elektriciteit programmaverantwoordelijkheid,http://standaarden.overheid.nl/owms/terms/elecprogverantw,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Electriciteitswet_1998_art_31,Artikel 31 Elektriciteitswet 1998,https://wetten.overheid.nl/jci1.3:c:BWBR0009755&hoofdstuk=3&paragraaf=5&artikel=31
elektriciteitsaansluitingsverzoek,http://standaarden.overheid.nl/owms/terms/elektrAanslVerzoek,X,,,,X,X,,H3,,,,,,,http://standaarden.overheid.nl/owms/terms/ElektrW_1988_art_95b,Artikel 95b Elektriciteitswet 1988,https://wetten.overheid.nl/jci1.3:c:BWBR0009755&hoofdstuk=8&paragraaf=1a&artikel=95b
emancipatiesubsidie,http://standaarden.overheid.nl/owms/terms/emancipatiesubsidie,,X,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
emancipatiesubsidie,http://standaarden.overheid.nl/owms/terms/emancipatiesubsidie,,X,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
energielabel,http://standaarden.overheid.nl/owms/terms/energielabel,X,,,,X,X,,D2,,,X,,,,http://standaarden.overheid.nl/owms/terms/Bal_art_6_27,Artikel 6.27 Besluit bouwwerken leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041297&hoofdstuk=6&afdeling=6.4&artikel=6.27
energiesubsidie,http://standaarden.overheid.nl/owms/terms/energiesubsidie,,,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
epidemiologie,http://standaarden.overheid.nl/owms/terms/epidemiologie,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wpg_art_6,Artikel 6 Wet publieke gezondheid,https://wetten.overheid.nl/jci1.3:c:BWBR0024705&hoofdstuk=II&paragraaf=4&artikel=6
erfbelasting,http://standaarden.overheid.nl/owms/terms/erfbelasting,X,,,,X,,,D6;G4,,,,,,X,http://standaarden.overheid.nl/owms/terms/SW_art_5,Artikel 5 Successiewet 1956,https://wetten.overheid.nl/jci1.3:c:BWBR0002226&hoofdstuk=I&artikel=5
erfpacht,http://standaarden.overheid.nl/owms/terms/erfpacht,,,,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_5_art_85,Artikel 85 Burgerlijk Wetboek Boek 5,https://wetten.overheid.nl/jci1.3:c:BWBR0005288&boek=5&titeldeel=7&artikel=85
erkenning kind,http://standaarden.overheid.nl/owms/terms/erkenning_kind,,,,X,X,,,G1,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_203,Artikel 203 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=203
erkenning kind vernietiging,http://standaarden.overheid.nl/owms/terms/erkenKindVern,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_205,Artikel 205 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=205
erkenning kind vernietiging,http://standaarden.overheid.nl/owms/terms/erkenKindVern,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_205a,Artikel 205a Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=205a
erkenning kind vervangende toestemming,http://standaarden.overheid.nl/owms/terms/erkenKindVervToest,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_204,Artikel 204 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=3&artikel=204
europese erfrechtverklaring,http://standaarden.overheid.nl/owms/terms/eurErfrechtVerklaring,X,,,,X,,,G4,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_650_2012,"Artikel 62 Verordening (EU) nr. 650/2012 van het Europees Parlement en de Raad van 4 juli 2012 betreffende de bevoegdheid, ... van authentieke akten op het gebied van erfopvolging, alsmede betreffende de instelling van een Europese erfrechtverklaring",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32012R0650&from=NL
europese sociale zekerheidsverklaring,http://standaarden.overheid.nl/owms/terms/eusoczekverkl,X,,,,X,X,X,K3,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_987_2009_art_19,"Verordening (EG) Nr. 987/2009 van het Europees Parlement en de Raad van 16 september 2009 tot vaststelling van de wijze van toepassing van Verordening (EG) nr. 883/2004 betreffende de coördinatie van de socialezekerheidsstelsels, art. 19",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R0987&from=NL
europese vuurwapenpas,http://standaarden.overheid.nl/owms/terms/eu_vuurwapenpas,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WWM_art_28a,Artikel 28a Wet wapens en munitie,https://wetten.overheid.nl/jci1.3:c:BWBR0008804&paragraaf=6&artikel=28a
europese vuurwapenpas intrekking of wijziging,http://standaarden.overheid.nl/owms/terms/eurvuurwwijz,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WWM_art_7,Artikel 7 Wet wapens en munitie,https://wetten.overheid.nl/jci1.3:c:BWBR0008804&paragraaf=1&artikel=7
